accuracy,loss,val_accuracy,val_loss
0.32587647438049316,1.8433623313903809,0.4904841482639313,1.4254511594772339
0.5316360592842102,1.3221843242645264,0.6223706007003784,1.0876048803329468
0.642570972442627,1.037695050239563,0.6667779684066772,0.9985482096672058
0.7085976600646973,0.8514638543128967,0.7075124979019165,0.8617713451385498
0.7674457430839539,0.6871782541275024,0.7602671384811401,0.691931962966919
0.8090150356292725,0.5633789300918579,0.8183639645576477,0.5614184737205505
0.8426544070243835,0.4650993347167969,0.8290483951568604,0.5201906561851501
0.8692821264266968,0.3824646770954132,0.8677796125411987,0.41423094272613525
0.8960767984390259,0.3136458992958069,0.8537562489509583,0.46844080090522766
0.9105175137519836,0.261277437210083,0.8781301975250244,0.39232391119003296
0.9263772964477539,0.21840280294418335,0.8888146877288818,0.3645325303077698
0.9378130435943604,0.17993026971817017,0.8964941501617432,0.33663398027420044
0.9451586008071899,0.16275876760482788,0.9068447351455688,0.3352792263031006
0.9508347511291504,0.14331106841564178,0.8911519050598145,0.3507263958454132
0.9605175256729126,0.12196068465709686,0.8984975218772888,0.3637089133262634
0.9613522291183472,0.11091585457324982,0.9135225415229797,0.29879534244537354
0.9663606286048889,0.10238907486200333,0.9151920080184937,0.3101259171962738
0.972287118434906,0.08674445003271103,0.8891485929489136,0.37151482701301575
0.971953272819519,0.0845562219619751,0.9101836681365967,0.31469279527664185
0.9792988300323486,0.06435603648424149,0.9298831224441528,0.2575094401836395
0.9760434031486511,0.07301152497529984,0.9175292253494263,0.29566699266433716
0.9811352491378784,0.055004484951496124,0.9322203397750854,0.22555869817733765
0.9734557867050171,0.08658942580223083,0.9161936640739441,0.2686675786972046
0.985308825969696,0.04498752951622009,0.9202003479003906,0.2799965441226959
0.9822203516960144,0.0512305311858654,0.9115191698074341,0.3514506220817566
0.9829716086387634,0.052023034542798996,0.9145241975784302,0.34219542145729065
0.9833889603614807,0.05161614343523979,0.9078463912010193,0.3341318666934967
0.9861435890197754,0.041800182312726974,0.9125208854675293,0.3049062192440033
0.9849749803543091,0.04732510447502136,0.9265442490577698,0.25421634316444397
0.9900667667388916,0.029845360666513443,0.913188636302948,0.36574116349220276
